date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:52:30	62095/62095	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:30%20GMT	https://www.w3schools.com/w3css/default.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/default.html	(from )
09:52:31	134/134	---M-Z	200	added ('OK')	text/plain	etag:%2255c342fcd390d11:0-gzip+ident+gzip%22	https://www.w3schools.com/robots.txt		(from )
09:52:32	43/43	---M-Z	200	added ('OK')	image/gif	date:Wed,%2019%20Apr%202017%2012:52:32%20GMT	https://www.w3schools.com/detroitchicago/greenoaks.gif	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/detroitchicago/greenoaks.gif	(from https://www.w3schools.com/w3css/default.asp)
09:52:32	43/43	---M-Z	200	added ('OK')	image/gif	date:Wed,%2019%20Apr%202017%2012:52:32%20GMT	https://www.w3schools.com/porpoiseant/army.gif	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/porpoiseant/army.gif	(from https://www.w3schools.com/w3css/default.asp)
09:52:34	43/43	---M-Z	200	added ('OK')	image/gif	date:Wed,%2019%20Apr%202017%2012:52:34%20GMT	https://www.w3schools.com/ezoic/e.gif	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/ezoic/e.gif	(from https://www.w3schools.com/w3css/default.asp)
09:52:34	32566/32566	---M-Z	200	added ('OK')	text/css	etag:%228089dc7feaa3d21:0-gzip%22	https://www.w3schools.com/w3css/3/w3.css	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/3/w3.css	(from https://www.w3schools.com/w3css/default.asp)
09:52:35	29480/29480	---MC-	200	added ('OK')	text/javascript	date:Tue,%2011%20Apr%202017%2000:18:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/w3css/default.asp)
09:52:35	2460/2460	---MC-	200	added ('OK')	text/javascript	date:Tue,%2018%20Apr%202017%2023:00:40%20GMT	https://www.googletagservices.com/tag/js/gpt.js	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.googletagservices.com/tag/js/gpt.js	(from https://www.w3schools.com/w3css/default.asp)
09:52:36	2456/2456	---M-Z	200	added ('OK')	application/javascript	etag:%22998-54d279b3bbcc0;54d279b3bbcc0-gzip%22	https://www.w3schools.com/detroitchicago/rochester.js?cb=157-3&v=7	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/detroitchicago/rochester1812.js	(from https://www.w3schools.com/w3css/default.asp)
09:52:37	90362/90362	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:37%20GMT	https://www.w3schools.com/w3css/w3css_templates.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_templates.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:37	129266/129266	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:37%20GMT	https://www.w3schools.com/w3css/w3css_references.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_references.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:39	96913/96913	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:38%20GMT	https://www.w3schools.com/w3css/w3css_examples.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_examples.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:41	71107/71107	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:41%20GMT	https://www.w3schools.com/w3css/w3css_colors.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_colors.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:41	66335/66335	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:41%20GMT	https://www.w3schools.com/w3css/w3css_containers.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_containers.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:42	108416/108416	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:40%20GMT	https://www.w3schools.com/w3css/w3css_intro.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_intro.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:42	64431/64431	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:42%20GMT	https://www.w3schools.com/w3css/w3css_panels.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_panels.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:43	65297/65297	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:43%20GMT	https://www.w3schools.com/w3css/w3css_borders.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_borders.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:45	65317/65317	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:44%20GMT	https://www.w3schools.com/w3css/w3css_fonts.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_fonts.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:45	62751/62751	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:45%20GMT	https://www.w3schools.com/w3css/w3css_text.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_text.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:46	61593/61593	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:46%20GMT	https://www.w3schools.com/w3css/w3css_round.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_round.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:47	60895/60895	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:47%20GMT	https://www.w3schools.com/w3css/w3css_padding.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_padding.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:48	67706/67706	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:44%20GMT	https://www.w3schools.com/w3css/w3css_cards.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_cards.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:48	62953/62953	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:48%20GMT	https://www.w3schools.com/w3css/w3css_margins.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_margins.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:49	74673/74673	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:49%20GMT	https://www.w3schools.com/w3css/w3css_display.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_display.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:50	88630/88630	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:50%20GMT	https://www.w3schools.com/w3css/w3css_buttons.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_buttons.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:50	63284/63284	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:50%20GMT	https://www.w3schools.com/w3css/w3css_notes.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_notes.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:51	67199/67199	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:51%20GMT	https://www.w3schools.com/w3css/w3css_quotes.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_quotes.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:52	62959/62959	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:52%20GMT	https://www.w3schools.com/w3css/w3css_alerts.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_alerts.html	(from https://www.w3schools.com/w3css/default.asp)
09:52:53	76348/76348	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Apr%202017%2012:52:53%20GMT	https://www.w3schools.com/w3css/w3css_tables.asp	C:/Meus%20Sites/W3%20Schools%20-%20W3.CSS/www.w3schools.com/w3css/w3css_tables.html	(from https://www.w3schools.com/w3css/default.asp)
